SegID,StructName
2,Left-Cerebral-White-Matter
3,Left-Cerebral-Cortex
4,Left-Lateral-Ventricle
5,Left-Inf-Lat-Vent
7,Left-Cerebellum-White-Matter
8,Left-Cerebellum-Cortex
10,Left-Thalamus-Proper
11,Left-Caudate
12,Left-Putamen
13,Left-Pallidum
14,3rd-Ventricle
15,4th-Ventricle
16,Brain-Stem
17,Left-Hippocampus
18,Left-Amygdala
24,CSF
26,Left-Accumbens-area
28,Left-VentralDC
29, Left-undetermined
30,Left-vessel
41,Right-Cerebral-White-Matter
42,Right-Cerebral-Cortex
43,Right-Lateral-Ventricle
44,Right-Inf-Lat-Vent
46,Right-Cerebellum-White-Matter
47,Right-Cerebellum-Cortex
49,Right-Thalamus-Proper
50,Right-Caudate
51,Right-Putamen
52,Right-Pallidum
53,Right-Hippocampus
54,Right-Amygdala
58,Right-Accumbens-area
60,Right-VentralDC
61,Right-undetermined
62,Right-vessel
72,5th-Ventricle
77,WM-hypointensities
85,Optic-Chiasm
